Year of Ceremony,Movie_Title,Nominations,Directed_By,Written_By,Produced_By,Screenplay_By,Adapted_From,Cast,Cinematography,Edited_By,Production Companies,Distributed_By,Date_Released,Running_Time (minutes),Producer_Country,Language,Budget (in millions),Box Office (in millions),Gains,"% of budget/box office made (If the budget is 1/3rd of the revenue, then movie did good, smaller than 33% is better)",Parental Guide,RT Critics,RT Audience,Lat,Long,Setting_City,Setting_Country,Filming_City,Filming_Country,Setting_Time,Film genre ,Summary,Notes
73rd,Dolphins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Everybody's Famous!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Hollow Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Long Night's Journey into Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Meet the Parents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,On Tiptoe: Gentle Steps to Freedom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,One Day Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Periwig Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Rejected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Requiem for a Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Scottsboro: An American Tragedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Seraglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Sound and Fury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Space Cowboys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,The Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,The Emperor's New Groove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,The Man on Lincoln's Nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,The Taste of Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73rd,Vatel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,A Beautiful Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Moulin Rouge!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Black Hawk Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Gosford Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,"Monsters, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Pearl Harbor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Iris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Monster's Ball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Shrek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Training Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,For the Birds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Murder on a Sunday Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,No Man's Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,The Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Thoth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Amélie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,In the Bedroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Harry Potter and the Philosopher's Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,A.I. Artificial Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Memento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,A Man Thing (Męska Sprawa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Artists and Orphans: A True Drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Bridget Jones's Diary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Children Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Copy Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Elling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Fifty Percent Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Ghost World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Give Up Yer Aul Sins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Gregor's Greatest Invention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,I Am Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Jimmy Neutron: Boy Genius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Kate & Leopold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Lagaan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,LaLee's Kin: The Legacy of Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Mulholland Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Promises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Sexy Beast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Sing!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Son of the Bride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Speed for Thespians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Strange Invaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Stubble Trouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,The Affair of the Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,The Man Who Wasn't There,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,The Royal Tenenbaums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,Vanilla Sky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74th,War Photographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Pianist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Frida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Lord of the Rings: The Two Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Road to Perdition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Talk to Her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,8 Mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Bowling for Columbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Nowhere in Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Spirited Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The ChubbChubbs!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,This Charming Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Twin Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Gangs of New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Far from Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,About Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Catch Me If You Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Spider-Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,About a Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Das Rad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Daughter from Danang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Fait D'Hiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,I'll Wait for the Next One (J'Attendrai Le Suivant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Ice Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Inja (Dog),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Johnny Flynton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Cathedral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Lilo & Stitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Mighty Times: The Legacy of Rosa Parks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Mike's New Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Minority Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Mt. Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,My Big Fat Greek Wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Prisoner of Paradise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Spellbound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Spirit: Stallion of the Cimarron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Star Wars: Episode II – Attack of the Clones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Collector of Bedford Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Crime of Father Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Man Without a Past,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Quiet American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Time Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,The Wild Thornberrys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Treasure Planet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Unfaithful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Why Can't We Be a Family Again?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Winged Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Y tu mamá también,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75th,Zus & Zo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Lord of the Rings: The Return of the King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Master and Commander: The Far Side of the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Mystic River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Cold Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Finding Nemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Lost in Translation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Barbarian Invasions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Chernobyl Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Harvie Krumpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Monster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Fog of War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Two Soldiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Seabiscuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Pirates of the Caribbean: The Curse of the Black Pearl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,City of God,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Last Samurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Girl with a Pearl Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,House of Sand and Fog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,In America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,21 Grams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Triplets of Belleville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,(A) Torzija [(A) Torsion],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,A Mighty Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,American Splendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Balseros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Big Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Boundin',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Brother Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Capturing the Friedmans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Destino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Die Rote Jacke (The Red Jacket),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Dirty Pretty Things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Evil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Ferry Tales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Gone Nutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Most (The Bridge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,My Architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Nibbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Pieces of April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Something's Gotta Give,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Squash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Twilight Samurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,The Weather Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Thirteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Twin Sisters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Whale Rider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76th,Želary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Million Dollar Baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Aviator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Incredibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Finding Neverland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Sideways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Lemony Snicket's A Series of Unfortunate Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Spider-Man 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Eternal Sunshine of the Spotless Mind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Motorcycle Diaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Sea Inside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Born into Brothels: Calcutta's Red Light Kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Mighty Times: The Children's March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Wasp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Hotel Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Passion of the Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Phantom of the Opera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Polar Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Vera Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,A Very Long Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Closer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Collateral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Harry Potter and the Prisoner of Azkaban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Shrek 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Chorus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,7:35 in the Morning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,As It Is in Heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Autism Is a World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Before Sunset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Being Julia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Birthday Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Downfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Everything in This Country Must,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Gopher Broke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Guard Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,House of Flying Daggers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,"I, Robot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Kinsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Little Terrorist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Lorenzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Maria Full of Grace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Shark Tale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Sister Rose's Passion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Super Size Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Children of Leningradsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Story of the Weeping Camel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,The Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Troy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Tupac: Resurrection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Twist of Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,"Two Cars, One Night",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77th,Yesterday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Brokeback Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Memoirs of a Geisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,King Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Capote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Walk the Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Constant Gardener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Hustle & Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Syriana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,A Note of Triumph: The Golden Age of Norman Corwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,March of the Penguins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Six Shooter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Moon and the Son: An Imagined Conversation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Tsotsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Wallace & Gromit: The Curse of the Were-Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,"Good Night, and Good Luck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Pride & Prejudice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Cinderella Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,War of the Worlds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,A History of Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Mrs Henderson Presents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,North Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Transamerica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Badgered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Batman Begins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Cashback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Charlie and the Chocolate Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Corpse Bride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Darwin's Nightmare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Don't Tell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Enron: The Smartest Guys in the Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,God Sleeps in Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Harry Potter and the Goblet of Fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Howl's Moving Castle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Joyeux Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Junebug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Match Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Murderball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,One Man Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Our Time Is Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Paradise Now,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Sophie Scholl – The Final Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Star Wars: Episode III – Revenge of the Sith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,Street Fight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Death of Kevin Carter: Casualty of the Bang Bang Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Last Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Mushroom Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Mysterious Geographic Explorations of Jasper Morello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The New World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Runaway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78th,The Squid and the Whale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Departed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Pan's Labyrinth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Dreamgirls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Little Miss Sunshine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,An Inconvenient Truth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Babel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Queen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Letters from Iwo Jima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Pirates of the Caribbean: Dead Man's Chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Happy Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Marie Antoinette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Blood of Yingzhou District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Danish Poet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Last King of Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Lives of Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,West Bank Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Blood Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Notes on a Scandal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Apocalypto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Children of Men,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Little Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Flags of Our Fathers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Devil Wears Prada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,The Prestige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,United 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,After the Wedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Binta and the Great Idea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79th,Curse of the Golden Flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
